,Station/Description,Type,WMO #,quality
0,Alturas,CZ2010,725958,high
1,Arcata-AP,CZ2010,725945,high
2,Bakersfield-Meadows-Fld,CZ2010,723840,high
3,Beale-AFB,CZ2010,724837,high
4,Bishop-AP,CZ2010,724800,high
5,Blue-Canyon-AP,CZ2010,725845,high
6,Blythe-Riverside-Co-AP,CZ2010,747188,high
7,Burbank-Glndle-Pasad-AP,CZ2010,722880,high
8,Camarillo(AWOS),CZ2010,723926,high
9,Camp-Pendleton-MCAS,CZ2010,722926,high
10,Carlsbad-McClellan,CZ2010,722927,high
11,China-Lake-NAF,CZ2010,746120,high
12,Chino-AP,CZ2010,722899,high
13,Concord-Buchanan-Field,CZ2010,724936,low
14,Crescent-City-FAA-AP,CZ2010,725946,high
15,Daggett-Barstow-Daggett-AP,CZ2010,723815,high
16,Edwards-AFB,CZ2010,723810,high
17,El-Centro-NAF,CZ2010,722810,high
18,Eureka,CZ2010,725940,low
19,Fresno-Yosemite-IAP,CZ2010,723890,high
20,Fullerton-Muni-AP,CZ2010,722976,high
21,Hayward-Air-Term,CZ2010,724935,low
22,Imperial,CZ2010,747185,high
23,Imperial-Beach-Ream-Fld,CZ2010,722909,high
24,Inyokern,CZ2010,723826,low
25,Jack-Northrop-Fld-H,CZ2010,722956,high
26,Lake-Tahoe,CZ2010,725847,high
27,Lancaster-Gen-Wm-Fox-Field,CZ2010,723816,high
28,Lemoore-Reeves-NAS,CZ2010,747020,high
29,Livermore-Muni-AP,CZ2010,724927,high
30,Lompoc(AWOS),CZ2010,722895,medium
31,Long-Beach-Daugherty-Fld,CZ2010,722970,high
32,Los-Alamitos-AAF,CZ2010,722975,high
33,Los-Angeles-Downtown-USC,CZ2010,722874,high
34,Los-Angeles-IAP,CZ2010,722950,high
35,Merced-Muni-Macready,CZ2010,724815,high
36,Modesto-City-Co-AP,CZ2010,724926,high
37,Mojave,CZ2010,722953,high
38,Montague-Siskiyou-Co-AP,CZ2010,725955,high
39,Monterey-Peninsula,CZ2010,724915,high
40,Mount-Shasta,CZ2010,725957,high
41,Napa-Co,CZ2010,724955,high
42,Needles-AP,CZ2010,723805,high
43,Oakland-Metro-AP,CZ2010,724930,high
44,Oxnard-AP,CZ2010,723927,high
45,Palm-Springs-IAP,CZ2010,722868,high
46,Palm-Springs-Thermal-AP,CZ2010,747187,high
47,Palmdale-AP,CZ2010,723820,high
48,Palo-Alto-AP,CZ2010,724937,low
49,Paso-Robles-Muni-AP,CZ2010,723965,high
50,Point-Mugu-NF,CZ2010,723910,high
51,Porterville(AWOS),CZ2010,723895,high
52,Red-Bluff-Muni-AP,CZ2010,725910,high
53,Redding-Muni-AP,CZ2010,725920,high
54,Riverside-March-AFB,CZ2010,722860,high
55,Riverside-Muni,CZ2010,722869,high
56,Sacramento-Executive-AP,CZ2010,724830,high
57,Sacramento-Metro-AP,CZ2010,724839,high
58,Salinas-Muni-AP,CZ2010,724917,low
59,San-Carlos-AP,CZ2010,724938,high
60,San-Clemente-Is-NAAS,CZ2010,722925,low
61,San-Diego-Gillespie,CZ2010,722907,low
62,San-Diego-Lindbergh-Field,CZ2010,722900,high
63,San-Diego-Montgomer,CZ2010,722903,high
64,San-Diego-North-Island-NAS,CZ2010,722906,high
65,San-Francisco-IAP,CZ2010,724940,high
66,San-Jose-IAP,CZ2010,724945,high
67,San-Jose-Reid-Hillv,CZ2010,724946,medium
68,San-Luis-Co-Rgnl-AP,CZ2010,722897,high
69,San-Nicholas-Island,CZ2010,722910,high
70,Sandberg,CZ2010,723830,high
71,Santa-Ana-John-Wayne-AP,CZ2010,722977,high
72,Santa-Barbara-Muni-AP,CZ2010,723925,high
73,Santa-Maria-Public-AP,CZ2010,723940,high
74,Santa-Monica-Muni,CZ2010,722885,high
75,Santa-Rosa(AWOS),CZ2010,724957,high
76,Stockton-Metro-AP,CZ2010,724920,high
77,Torrance-Muni-AP,CZ2010,722955,low
78,Travis-Fld-AFB,CZ2010,745160,high
79,Truckee-Tahoe,CZ2010,725846,high
80,Twentynine-Palms,CZ2010,690150,high
81,Ukiah-Muni-AP,CZ2010,725905,high
82,Van-Nuys-AP,CZ2010,722886,high
83,Vandenberg-AFB,CZ2010,723930,high
84,Visalia-Muni(AWOS),CZ2010,723896,high
85,Yuba-Co,CZ2010,724838,high
