Station/Description,Type,WMO #
Alturas,CZ2010,725958
Arcata-AP,CZ2010,725945
Bakersfield-Meadows-Fld,CZ2010,723840
Beale-AFB,CZ2010,724837
Bishop-AP,CZ2010,724800
Blue-Canyon-AP,CZ2010,725845
Blythe-Riverside-Co-AP,CZ2010,747188
Burbank-Glndle-Pasad-AP,CZ2010,722880
Camarillo(AWOS),CZ2010,723926
Camp-Pendleton-MCAS,CZ2010,722926
Carlsbad-McClellan,CZ2010,722927
China-Lake-NAF,CZ2010,746120
Chino-AP,CZ2010,722899
Concord-Buchanan-Field,CZ2010,724936
Crescent-City-FAA-AP,CZ2010,725946
Daggett-Barstow-Daggett-AP,CZ2010,723815
Edwards-AFB,CZ2010,723810
El-Centro-NAF,CZ2010,722810
Eureka,CZ2010,725940
Fresno-Yosemite-IAP,CZ2010,723890
Fullerton-Muni-AP,CZ2010,722976
Hayward-Air-Term,CZ2010,724935
Imperial,CZ2010,747185
Imperial-Beach-Ream-Fld,CZ2010,722909
Inyokern,CZ2010,723826
Jack-Northrop-Fld-H,CZ2010,722956
Lake-Tahoe,CZ2010,725847
Lancaster-Gen-Wm-Fox-Field,CZ2010,723816
Lemoore-Reeves-NAS,CZ2010,747020
Livermore-Muni-AP,CZ2010,724927
Lompoc(AWOS),CZ2010,722895
Long-Beach-Daugherty-Fld,CZ2010,722970
Los-Alamitos-AAF,CZ2010,722975
Los-Angeles-Downtown-USC,CZ2010,722874
Los-Angeles-IAP,CZ2010,722950
Merced-Muni-Macready,CZ2010,724815
Modesto-City-Co-AP,CZ2010,724926
Mojave,CZ2010,722953
Montague-Siskiyou-Co-AP,CZ2010,725955
Monterey-Peninsula,CZ2010,724915
Mount-Shasta,CZ2010,725957
Napa-Co,CZ2010,724955
Needles-AP,CZ2010,723805
Oakland-Metro-AP,CZ2010,724930
Oxnard-AP,CZ2010,723927
Palm-Springs-IAP,CZ2010,722868
Palm-Springs-Thermal-AP,CZ2010,747187
Palmdale-AP,CZ2010,723820
Palo-Alto-AP,CZ2010,724937
Paso-Robles-Muni-AP,CZ2010,723965
Point-Mugu-NF,CZ2010,723910
Porterville(AWOS),CZ2010,723895
Red-Bluff-Muni-AP,CZ2010,725910
Redding-Muni-AP,CZ2010,725920
Riverside-March-AFB,CZ2010,722860
Riverside-Muni,CZ2010,722869
Sacramento-Executive-AP,CZ2010,724830
Sacramento-Metro-AP,CZ2010,724839
Salinas-Muni-AP,CZ2010,724917
San-Carlos-AP,CZ2010,724938
San-Clemente-Is-NAAS,CZ2010,722925
San-Diego-Gillespie,CZ2010,722907
San-Diego-Lindbergh-Field,CZ2010,722900
San-Diego-Montgomer,CZ2010,722903
San-Diego-North-Island-NAS,CZ2010,722906
San-Francisco-IAP,CZ2010,724940
San-Jose-IAP,CZ2010,724945
San-Jose-Reid-Hillv,CZ2010,724946
San-Luis-Co-Rgnl-AP,CZ2010,722897
San-Nicholas-Island,CZ2010,722910
Sandberg,CZ2010,723830
Santa-Ana-John-Wayne-AP,CZ2010,722977
Santa-Barbara-Muni-AP,CZ2010,723925
Santa-Maria-Public-AP,CZ2010,723940
Santa-Monica-Muni,CZ2010,722885
Santa-Rosa(AWOS),CZ2010,724957
Stockton-Metro-AP,CZ2010,724920
Torrance-Muni-AP,CZ2010,722955
Travis-Fld-AFB,CZ2010,745160
Truckee-Tahoe,CZ2010,725846
Twentynine-Palms,CZ2010,690150
Ukiah-Muni-AP,CZ2010,725905
Van-Nuys-AP,CZ2010,722886
Vandenberg-AFB,CZ2010,723930
Visalia-Muni(AWOS),CZ2010,723896
Yuba-Co,CZ2010,724838
