,name_f
2017-01-01 00:00:00+00:00,46.094
2017-01-02 00:00:00+00:00,51.188900000000004
2017-01-03 00:00:00+00:00,50.06228
2017-01-04 00:00:00+00:00,52.09214
2017-01-05 00:00:00+00:00,54.9014
2017-01-06 00:00:00+00:00,54.84758
2017-01-07 00:00:00+00:00,53.39804
2017-01-08 00:00:00+00:00,59.27234
2017-01-09 00:00:00+00:00,58.85474
2017-01-10 00:00:00+00:00,52.29212
2017-01-11 00:00:00+00:00,56.19596
2017-01-12 00:00:00+00:00,52.85462
2017-01-13 00:00:00+00:00,50.93006
2017-01-14 00:00:00+00:00,55.742360000000005
2017-01-15 00:00:00+00:00,55.004
2017-01-16 00:00:00+00:00,54.4217
2017-01-17 00:00:00+00:00,52.519999999999996
2017-01-18 00:00:00+00:00,50.857879999999994
2017-01-19 00:00:00+00:00,53.73716
2017-01-20 00:00:00+00:00,51.86138
2017-01-21 00:00:00+00:00,50.43794
2017-01-22 00:00:00+00:00,50.779399999999995
2017-01-23 00:00:00+00:00,50.23562
2017-01-24 00:00:00+00:00,44.40056
2017-01-25 00:00:00+00:00,45.9671
2017-01-26 00:00:00+00:00,46.83182
2017-01-27 00:00:00+00:00,55.13666
2017-01-28 00:00:00+00:00,58.41014
2017-01-29 00:00:00+00:00,56.92568
2017-01-30 00:00:00+00:00,60.66482
2017-01-31 00:00:00+00:00,60.12212
2017-02-01 00:00:00+00:00,56.4971
2017-02-02 00:00:00+00:00,55.21136
2017-02-03 00:00:00+00:00,57.30224
2017-02-04 00:00:00+00:00,56.409980000000004
2017-02-05 00:00:00+00:00,51.5444
2017-02-06 00:00:00+00:00,53.17232
2017-02-07 00:00:00+00:00,57.6815
2017-02-08 00:00:00+00:00,60.875960000000006
2017-02-09 00:00:00+00:00,63.45158
2017-02-10 00:00:00+00:00,60.692
2017-02-11 00:00:00+00:00,58.62992
2017-02-12 00:00:00+00:00,58.22762
2017-02-13 00:00:00+00:00,65.22476
2017-02-14 00:00:00+00:00,61.476620000000004
2017-02-15 00:00:00+00:00,61.130840000000006
